modality,gender,bl_pred,cf_pred,count
audio+video,female,Disgust,Sadness,9
audio+video,female,Disgust,Surprise,4
audio+video,female,Fear,Anger,1
audio+video,female,Fear,Disgust,1
audio+video,female,Fear,Fear,2
audio+video,female,Joy,Anger,14
audio+video,female,Joy,Disgust,8
audio+video,female,Joy,Joy,128
audio+video,female,Joy,Neutral,9
audio+video,female,Joy,Sadness,7
audio+video,female,Joy,Surprise,7
audio+video,female,Neutral,Anger,39
audio+video,female,Neutral,Disgust,26
audio+video,female,Neutral,Fear,2
audio+video,female,Neutral,Joy,17
audio+video,female,Neutral,Neutral,189
audio+video,female,Neutral,Sadness,38
audio+video,female,Neutral,Surprise,10
audio+video,female,Sadness,Anger,21
audio+video,female,Sadness,Disgust,9
audio+video,female,Sadness,Joy,1
audio+video,female,Sadness,Neutral,11
audio+video,female,Sadness,Sadness,112
audio+video,female,Sadness,Surprise,1
audio+video,female,Surprise,Anger,20
audio+video,female,Surprise,Disgust,4
audio+video,female,Surprise,Joy,4
audio+video,female,Surprise,Neutral,3
audio+video,female,Surprise,Sadness,3
audio+video,female,Surprise,Surprise,42
audio+video,male,Anger,Anger,169
audio+video,male,Anger,Disgust,28
audio+video,male,Anger,Fear,1
audio+video,male,Anger,Joy,5
audio+video,male,Anger,Neutral,14
audio+video,male,Anger,Sadness,25
audio+video,male,Anger,Surprise,1
audio+video,male,Disgust,Anger,8
audio+video,male,Disgust,Disgust,55
audio+video,male,Disgust,Joy,3
audio+video,male,Disgust,Neutral,6
audio+video,male,Disgust,Sadness,3
audio+video,male,Fear,Anger,3
audio+video,male,Fear,Disgust,1
audio+video,male,Fear,Fear,4
audio+video,male,Fear,Neutral,2
audio+video,male,Fear,Sadness,2
audio+video,male,Joy,Anger,11
audio+video,male,Joy,Disgust,10
audio+video,male,Joy,Joy,74
audio+video,male,Joy,Neutral,12
audio+video,male,Joy,Sadness,4
audio+video,male,Joy,Surprise,2
audio+video,male,Neutral,Anger,63
audio+video,male,Neutral,Disgust,46
audio+video,male,Neutral,Fear,1
audio+video,male,Neutral,Joy,22
audio+video,male,Neutral,Neutral,322
audio+video,male,Neutral,Sadness,49
audio+video,male,Neutral,Surprise,2
audio+video,male,Sadness,Anger,6
audio+video,male,Sadness,Disgust,16
audio+video,male,Sadness,Joy,5
audio+video,male,Sadness,Neutral,8
audio+video,male,Sadness,Sadness,120
audio+video,male,Sadness,Surprise,2
audio+video,male,Surprise,Anger,8
audio+video,male,Surprise,Disgust,7
audio+video,male,Surprise,Joy,3
audio+video,male,Surprise,Neutral,12
audio+video,male,Surprise,Sadness,6
audio+video,male,Surprise,Surprise,22
text+audio+video,female,Anger,Anger,142
text+audio+video,female,Anger,Disgust,2
text+audio+video,female,Anger,Neutral,1
text+audio+video,female,Anger,Surprise,2
text+audio+video,female,Disgust,Anger,11
text+audio+video,female,Disgust,Disgust,78
text+audio+video,female,Disgust,Neutral,3
text+audio+video,female,Disgust,Sadness,2
text+audio+video,female,Disgust,Surprise,2
text+audio+video,female,Fear,Fear,3
text+audio+video,female,Fear,Neutral,1
text+audio+video,female,Joy,Anger,5
text+audio+video,female,Joy,Joy,145
text+audio+video,female,Joy,Neutral,2
text+audio+video,female,Joy,Sadness,1
text+audio+video,female,Joy,Surprise,3
text+audio+video,female,Neutral,Anger,18
text+audio+video,female,Neutral,Disgust,13
text+audio+video,female,Neutral,Joy,8
text+audio+video,female,Neutral,Neutral,316
text+audio+video,female,Neutral,Sadness,5
text+audio+video,female,Neutral,Surprise,9
text+audio+video,female,Sadness,Anger,6
text+audio+video,female,Sadness,Disgust,2
text+audio+video,female,Sadness,Neutral,5
text+audio+video,female,Sadness,Sadness,98
text+audio+video,female,Sadness,Surprise,1
text+audio+video,female,Surprise,Anger,9
text+audio+video,female,Surprise,Joy,1
text+audio+video,female,Surprise,Sadness,1
text+audio+video,female,Surprise,Surprise,98
text+audio+video,male,Anger,Anger,169
text+audio+video,male,Anger,Disgust,10
text+audio+video,male,Anger,Joy,1
text+audio+video,male,Anger,Neutral,9
text+audio+video,male,Anger,Sadness,4
text+audio+video,male,Anger,Surprise,2
text+audio+video,male,Disgust,Anger,2
text+audio+video,male,Disgust,Disgust,70
text+audio+video,male,Disgust,Neutral,4
text+audio+video,male,Disgust,Sadness,1
text+audio+video,male,Disgust,Surprise,1
text+audio+video,male,Fear,Fear,11
text+audio+video,male,Fear,Sadness,1
text+audio+video,male,Joy,Anger,2
text+audio+video,male,Joy,Joy,122
text+audio+video,male,Joy,Neutral,3
text+audio+video,male,Joy,Surprise,1
text+audio+video,male,Neutral,Anger,15
text+audio+video,male,Neutral,Disgust,12
text+audio+video,male,Neutral,Fear,1
text+audio+video,male,Neutral,Joy,16
text+audio+video,male,Neutral,Neutral,493
text+audio+video,male,Neutral,Sadness,10
text+audio+video,male,Neutral,Surprise,7
text+audio+video,male,Sadness,Anger,2
text+audio+video,male,Sadness,Disgust,3
text+audio+video,male,Sadness,Joy,1
text+audio+video,male,Sadness,Neutral,4
text+audio+video,male,Sadness,Sadness,93
text+audio+video,male,Surprise,Anger,4
text+audio+video,male,Surprise,Disgust,4
text+audio+video,male,Surprise,Joy,2
text+audio+video,male,Surprise,Neutral,6
text+audio+video,male,Surprise,Surprise,77
